hero, hercules offshore,1.99, 05/17/2016,0
mgt, mgt capital investments,4.15, 05/17/2016,0
sdr,sandridge mississippi,1.47,05/17/2016,0
tisa, top image systems,2.44, 05/17/2016,0
vsr,versar inc,1.28,05/17/2016,0
appy, venaxis inc,4.43, 05/17/2016,0
aegr,aegerion pharmaceuticals,1.89,05/17/2016,0
arp,atlas resource partners,2.5,05/17/2016,0
cytx, cytori therapeutics,3.33, 05/17/2016,0
fran,francesca's holdings,10.5,05/17/2016,0
